                                            X2 df  probability
Omnibus                           1.475668e+02 17 7.321766e-23
GenderMale                        7.529635e-01  1 3.855396e-01
Age                               3.388512e+01  1 5.846420e-09
family_history_with_overweightyes 4.675564e+00  1 3.059465e-02
FAVCyes                           1.451835e+01  1 1.388012e-04
FCVC                              1.411965e+01  1 1.715428e-04
NCP                               2.301500e+01  1 1.607420e-06
CAECno                            6.507202e+00  1 1.074384e-02
CAECSometimes                     1.942135e+00  1 1.634369e-01
SMOKEyes                          8.334708e+00  1 3.889474e-03
CH2O                              7.633900e-01  1 3.822697e-01
SCCyes                            1.078345e+01  1 1.024115e-03
FAF                               3.050777e-03  1 9.559522e-01
TUE                               5.419800e-01  1 4.616133e-01
CALCno                            9.453986e+00  1 2.106908e-03
CALCSometimes                     7.072779e+00  1 7.826376e-03
MTRANSOther                       4.048659e-02  1 8.405322e-01
MTRANSPublic_Transportation       1.858888e-01  1 6.663606e-01
